id, title, last_refresh_time, created_time, highlighted, urgent, top_ad, price, currency, negotiable, previous_value, business, locationID, locationName, regionID, regionName, categoryID, categoryName, delivery, safeDeal, url
218025033,Iphone 12 pro max 512 Gb,2021-04-28T17:17:29+03:00,2021-04-01T17:15:31+03:00,True,False,True,5990,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-12-pro-max-512-gb-IDeKOgN.html
214054967,Iphone 6s,2021-04-10T08:36:17+03:00,2021-01-24T20:21:41+02:00,False,False,False,550,RON,True,,True,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6s-IDeu9tt.html
218483650,Iphone xs 256 gb,2021-04-08T19:37:02+03:00,2021-04-08T19:36:23+03:00,False,False,False,1449,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-xs-256-gb-IDeMJzQ.html
218449203,Iphone 8 plus,2021-04-08T14:16:50+03:00,2021-04-08T14:16:09+03:00,False,False,False,900,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-plus-IDeMACf.html
214488493,iPhone 6s,2021-04-07T23:49:45+03:00,2021-02-02T00:02:59+02:00,False,False,False,550,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6s-IDewYfP.html
214488464,Iphone 8 plus de vanzare,2021-04-07T23:49:42+03:00,2021-02-02T00:01:45+02:00,False,False,False,1550,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-plus-de-vanzare-IDewYfm.html
214488532,iPhone 6s plus,2021-04-07T23:49:13+03:00,2021-02-02T00:04:27+02:00,False,False,False,850,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-6s-plus-IDewYgs.html
218324332,"Vând iPhone 7, in stare buna",2021-04-07T09:00:20+03:00,2021-04-07T08:59:35+03:00,False,False,False,850,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/vand-iphone-7-in-stare-buna-IDeM48c.html
204430866,"Iphone 8plus, 64 gb,neverlocked.",2021-04-07T08:52:03+03:00,2020-07-09T17:35:40+03:00,False,False,False,1450,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8plus-64-gb-neverlocked-IDdPLO2.html
212880658,IPhone 8 Silver Ca Nou Neverlock 64Gb,2021-04-06T23:45:57+03:00,2020-12-29T16:52:13+02:00,False,False,False,1099,RON,True,,False,30823,Reghin,22,Mures,948,electronics,False,unactive,https://www.olx.ro/oferta/iphone-8-silver-ca-nou-neverlock-64gb-IDepdZ0.html
